system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
00000000000000000d84_0,NW-TR-001_2016-08-03,0.05,310.0,2241.5073,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.39705064762717,40.08318281195026]}"
00000000000000000756_0,KS-LS-17249_2018-07-02,0.05,330.0,2269.3076,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.69786083448916,42.108641232513065]}"
0000000000000000088d_0,MP-RM-2051_2015-08-14,0.05,630.0,335.52957,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-123.29074991447321,39.572984646334575]}"
00000000000000000d2e_0,FR-TR-1267_2019-09-17,0.05,1133.0,2270.439,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.73868435904882,37.14618590628569]}"
00000000000000000d90_0,LS-RV-10953_2017-09-18,0.05,1270.0,1786.1855,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.159527268764,40.78135345076795]}"
000000000000000003d7_0,RA-TR-1449_2022-05-24,0.06,150.0,1935.6405,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.66149229209529,41.14819846334384]}"
000000000000000003dd_0,PR-RV-10172_2022-05-19,0.06,201.0,1538.8639,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.62042605699806,39.05240195603447]}"
00000000000000000277_0,RG-LS-12873_2022-08-08,0.06,216.0,2987.9346,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.34154374622143,39.2767292487848]}"
000000000000000008aa_0,MN-RO-1085_2015-09-28,0.06,250.0,1282.9989,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.19091980612728,43.732238310725]}"
00000000000000000165_0,RS-RV-10921_2023-09-03,0.06,260.0,1952.8007,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.60337145862361,41.96746200246084]}"
00000000000000000f72_0,RS-RV-10921_2023-09-03,0.06,260.0,1952.3264,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.60074837799398,41.96693199644321]}"
00000000000000000263_0,LA-RV-28229_2022-08-04,0.06,284.0,1835.1775,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.35148368754564,42.47284519815364]}"
00000000000000000151_0,RS-RV-11753_2023-08-31,0.06,536.0,1857.0022,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.64594261993804,41.45809028690655]}"
00000000000000000f5e_0,RS-RV-11753_2023-08-31,0.06,536.0,1854.9628,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.64826027337106,41.45331124959503]}"
00000000000000000a25_0,MB-RV-10514_2017-08-15,0.06,575.0,1253.32,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.25601090456028,38.81525570417976]}"
0000000000000000077e_0,KN-RV-10217_2017-08-29,0.06,610.0,1930.7415,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.16844770494616,41.52330797653363]}"
00000000000000000454_0,RA-RV-10578_2021-08-18,0.06,611.0,1948.43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.58194189940465,41.99884015533514]}"
00000000000000000128_0,SV-TR-50000_2023-08-16,0.06,1012.0,2267.713,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.74677817975873,37.10846564750551]}"
00000000000000000f35_0,SV-TR-50000_2023-08-16,0.06,1012.0,2267.082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.74112777662162,37.1012881083854]}"
000000000000000003b8_0,CAS-SS-1047_2022-06-05,0.07,150.0,2227.3516,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.37280969239065,42.800182304533955]}"
0000000000000000045d_0,RS-TR-24311_2021-07-07,0.07,150.0,2102.3943,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.2523098455897,42.33829553489822]}"
00000000000000000496_0,CAS-RV-1024_2021-06-26,0.07,150.0,1458.7568,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.28724957044925,43.41908560268094]}"
00000000000000000551_0,ENO-RV-1066_2021-07-26,0.07,150.0,1635.5057,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.24942674976026,41.09447022620065]}"
00000000000000000554_0,ENO-LS-1092_2021-09-15,0.07,150.0,1758.7472,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.23537709871664,41.48616263953529]}"
000000000000000006b9_0,RA-TR-1337_2018-06-04,0.07,150.0,1976.182,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.74261016225128,41.29978916753901]}"
0000000000000000072a_0,RS-LS-15545_2020-07-26,0.07,150.0,1987.4933,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.50583238507392,42.019438524799995]}"
00000000000000000784_0,KN-LS-10769_2017-07-06,0.07,150.0,1987.4316,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.49976434803513,41.42256191741962]}"
0000000000000000081e_0,XE-LS-5032_2014-07-09,0.07,150.0,2109.006,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.75758083457742,41.65415658081847]}"
00000000000000000d6a_0,NW-TR-1482_2019-09-05,0.07,150.0,2758.3577,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.57649810878289,40.20361994209216]}"
00000000000000000984_0,GWS-SR-37756_2018-06-05,0.07,156.0,1248.0465,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.29660136337866,38.73673396519487]}"
000000000000000000b4_0,PR-RV-14668_2023-08-06,0.07,169.0,1564.9137,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.72278010047063,39.08786744345151]}"
00000000000000000ec1_0,PR-RV-14668_2023-08-06,0.07,169.0,1564.8577,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.72395689349283,39.086708616734995]}"
00000000000000000975_0,PR-RV-10684_2016-09-13,0.07,185.0,1560.0455,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.69130313291508,39.08408553610537]}"
00000000000000000989_0,GWS-SR-19532_2018-07-03,0.07,223.0,1623.9326,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.90366486608094,39.145027244980035]}"
00000000000000000757_0,KS-LS-17249_2017-08-22,0.07,249.0,2269.2192,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.69779795241926,42.10927005321195]}"
0000000000000000070a_0,RA-RV-10578_2016-07-21,0.07,595.0,1948.45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.58147477545691,41.99879523957093]}"
000000000000000000c5_0,KN-RV-10217_2023-08-19,0.07,686.0,1930.6082,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.16848363755753,41.523191195546694]}"
00000000000000000ed2_0,KN-RV-10217_2023-08-19,0.07,686.0,1931.3942,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.16961551481552,41.527260563783756]}"
00000000000000000cf7_0,SV-RV-10978_2016-07-22,0.07,732.0,2276.77,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.74348136266602,37.22188693527844]}"
0000000000000000001d_0,SL-SS-13281_2023-07-10,0.08,150.0,1299.21,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74206709503154,40.62430997279817]}"
000000000000000001f8_0,CAS-RV-1043_2022-09-02,0.08,150.0,1603.8677,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.4433049016065,42.96162752739592]}"
000000000000000005b4_0,OT-LS-7075_2021-08-06,0.08,150.0,639.5084,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.66941085861937,48.104805922482456]}"
000000000000000006ba_0,RA-TR-1337_2017-06-07,0.08,150.0,1976.0093,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.74263711170981,41.299708319163436]}"
00000000000000000e2a_0,SL-SS-13281_2023-07-10,0.08,150.0,1299.06,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.74200421296165,40.624777096745916]}"
00000000000000000981_0,GWS-SR-49852_2018-06-06,0.08,151.0,1445.2004,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.43179781363864,39.32448368928859]}"
0000000000000000053d_0,WE-RV-37400_2021-07-22,0.08,161.0,1674.3569,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.2791340362061,41.23579318669833]}"
000000000000000002ac_0,RA-TR-78740_2022-07-24,0.08,206.0,2071.4941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.07792414294371,42.17338281503956]}"
00000000000000000ba5_0,TA-LS-22178_2017-07-06,0.08,263.0,1974.0962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.81513997288023,36.173984190047335]}"
000000000000000003cc_0,OT-LS-7012_2022-05-25,0.08,464.0,742.83,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.91874724887958,48.85400985259098]}"
000000000000000002e1_0,FI-RV-17420_2022-07-23,0.08,590.0,1492.7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.10791040336021,39.52211305179489]}"
00000000000000000674_0,LS-RV-10953_2021-09-22,0.08,1540.0,1786.6884,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.15862895347988,40.78097615834862]}"
00000000000000000d32_0,FR-TR-1199_2018-09-25,0.08,1548.0,2265.479,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.75388385365612,37.08365417935813]}"
0000000000000000045e_0,RS-TR-19448_2021-06-28,0.09,150.0,2074.4858,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.30008225239918,42.2830760943834]}"
00000000000000000550_0,ENO-RV-1094_2021-07-26,0.09,150.0,1637.6396,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.2493009856205,41.10360609264014]}"
00000000000000000709_0,RA-RV-16901_2017-06-15,0.09,150.0,1985.668,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-107.76018120920865,41.31112590642459]}"
00000000000000000996_0,G4012_2016-06-21,0.09,150.0,1458.7975,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-109.86470934107967,40.07274438834879]}"
0000000000000000098e_0,GR-TR-1106_2017-09-19,0.09,159.0,1224.7163,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.14425607434482,38.7497146210504]}"
