system:index,EvltnID,PctSlop,PrtclRL,elevation,.geo
000000000000000007f6_0,GWS-SR-19532_2018-07-03,0.07,223.0,1622.4849,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.90392306305395,39.143371481088295]}"
00000000000000000b64_0,SV-RV-10978_2016-07-22,0.07,732.0,2277.3662,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.7452577124692,37.21702418583725]}"
00000000000000000119_0,RA-TR-78740_2022-07-24,0.08,206.0,2073.025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.07826318829231,42.17168213536872]}"
0000000000000000014e_0,FI-RV-17420_2022-07-23,0.08,590.0,1490.4773,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-112.10667739696159,39.52596396059234]}"
00000000000000000239_0,OT-LS-7012_2022-05-25,0.08,464.0,743.4836,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-106.92465584898973,48.853890207824485]}"
000000000000000003aa_0,WE-RV-37400_2021-07-22,0.08,161.0,1673.706,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-115.27799984448872,41.23509862014921]}"
000000000000000004e1_0,LS-RV-10953_2021-09-22,0.08,1540.0,1787.2025,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.17088864264873,40.784503673636884]}"
000000000000000007ee_0,GWS-SR-49852_2018-06-06,0.08,151.0,1443.5107,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.43015158220933,39.324471842365604]}"
00000000000000000a12_0,TA-LS-22178_2017-07-06,0.08,263.0,1966.0947,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.81649411449987,36.17551744543883]}"
00000000000000000b9f_0,FR-TR-1199_2018-09-25,0.08,1548.0,2264.156,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-105.76322401815159,37.07302424579417]}"
0000000000000000005d_0,PC-TR-52394_2022-09-01,0.09,587.0,523.531,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-119.8932742797096,44.81695115251105]}"
00000000000000000683_0,XE-RO-5086_2013-08-01,0.09,200.0,1207.9575,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-108.17097847417715,44.496162764552075]}"
000000000000000007d7_0,PR-RV-13948_2017-09-12,0.09,168.0,1291.1914,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.37301873013932,38.89696359865597]}"
000000000000000007fb_0,GR-TR-1106_2017-09-19,0.09,159.0,1229.549,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-110.1450263110298,38.75098736498758]}"
00000000000000000023_0,PC-TR-73106_2022-09-29,0.1,1494.0,353.41882,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-120.48589287264325,45.041979131182984]}"
